1;Atlassian;Sydney;Tech;500;Post-IPO;Australia
2;SiriusXM;New York City;Media;476;Post-IPO;United States
3;UpGrad;Mumbai;Education;122;Unknown;India
4;Loft;Sao Paulo;Real Estate;343;Unknown;Brazil
5;Embark Trucks;SF Bay Area;Transportation;234;Post-IPO;United States
6;Lendi;Sydney;Real Estate;105;Unknown;Australia
7;UserTesting;SF Bay Area;Marketing;69;Acquired;United States
8;Airbnb;SF Bay Area;Hospitality;6407;Post-IPO;United States
9;Atlassian;Sydney;Tech;508;Post-IPO;Australia
10;SiriusXM;New York City;Media;484;Post-IPO;United States
11;UpGrad;Mumbai;Education;130;Unknown;India
12;Loft;Sao Paulo;Real Estate;351;Unknown;Brazil
13;Embark Trucks;SF Bay Area;Transportation;242;Post-IPO;United States
14;Lendi;Sydney;Real Estate;113;Unknown;Australia
15;UserTesting;SF Bay Area;Marketing;77;Acquired;United States
16;Airbnb;SF Bay Area;Hospitality;6415;Post-IPO;United States
17;Atlassian;Sydney;Tech;516;Post-IPO;Australia
18;SiriusXM;New York City;Media;492;Post-IPO;United States
19;UpGrad;Mumbai;Education;138;Unknown;India
20;Loft;Sao Paulo;Real Estate;359;Unknown;Brazil
21;Embark Trucks;SF Bay Area;Transportation;250;Post-IPO;United States
22;Lendi;Sydney;Real Estate;121;Unknown;Australia
23;UserTesting;SF Bay Area;Marketing;85;Acquired;United States
24;Airbnb;SF Bay Area;Hospitality;6423;Post-IPO;United States
25;Atlassian;Sydney;Tech;524;Post-IPO;Australia
26;SiriusXM;New York City;Media;500;Post-IPO;United States
27;UpGrad;Mumbai;Education;146;Unknown;India
28;Loft;Sao Paulo;Real Estate;367;Unknown;Brazil
29;Embark Trucks;SF Bay Area;Transportation;258;Post-IPO;United States
30;Lendi;Sydney;Real Estate;129;Unknown;Australia
31;UserTesting;SF Bay Area;Marketing;93;Acquired;United States
32;Airbnb;SF Bay Area;Hospitality;6431;Post-IPO;United States
33;Atlassian;Sydney;Tech;532;Post-IPO;Australia
34;SiriusXM;New York City;Media;508;Post-IPO;United States
35;UpGrad;Mumbai;Education;154;Unknown;India
36;Loft;Sao Paulo;Real Estate;375;Unknown;Brazil
37;Embark Trucks;SF Bay Area;Transportation;266;Post-IPO;United States
38;Lendi;Sydney;Real Estate;137;Unknown;Australia
39;UserTesting;SF Bay Area;Marketing;101;Acquired;United States
40;Airbnb;SF Bay Area;Hospitality;6439;Post-IPO;United States
41;Atlassian;Sydney;Tech;540;Post-IPO;Australia
42;SiriusXM;New York City;Media;516;Post-IPO;United States
43;UpGrad;Mumbai;Education;162;Unknown;India
44;Loft;Sao Paulo;Real Estate;383;Unknown;Brazil
